Kanal;Frequenz;Modes
1;26965;AM, FM, SSB
2;26975;AM, FM, SSB
3;26985;AM, FM, SSB
4;27005;AM, FM, SSB
5;27015;AM, FM, SSB
6;27025;AM, FM, SSB
7;27035;AM, FM, SSB
8;27055;AM, FM, SSB
9;27065;AM, FM, SSB
10;27075;AM, FM, SSB
11;27085;AM, FM, SSB
12;27105;AM, FM, SSB
13;27115;AM, FM, SSB
14;27125;AM, FM, SSB
15;27135;AM, FM, SSB
16;27155;AM, FM, SSB
17;27165;AM, FM, SSB
18;27175;AM, FM, SSB
19;27185;AM, FM, SSB
20;27205;AM, FM, SSB
21;27215;AM, FM, SSB
22;27225;AM, FM, SSB
23;27255;AM, FM, SSB
24;27235;AM, FM, SSB
25;27245;AM, FM, SSB
26;27265;AM, FM, SSB
27;27275;AM, FM, SSB
28;27285;AM, FM, SSB
29;27295;AM, FM, SSB
30;27305;AM, FM, SSB
31;27315;AM, FM, SSB
32;27325;AM, FM, SSB
33;27335;AM, FM, SSB
34;27345;AM, FM, SSB
35;27355;AM, FM, SSB
36;27365;AM, FM, SSB
37;27375;AM, FM, SSB
38;27385;AM, FM, SSB
39;27395;AM, FM, SSB
40;27405;AM, FM, SSB
41;26565;FM
42;26575;FM
43;26585;FM
44;26595;FM
45;26605;FM
46;26615;FM
47;26625;FM
48;26635;FM
49;26645;FM
50;26655;FM
51;26665;FM
52;26675;FM
53;26685;FM
54;26695;FM
55;26705;FM
56;26715;FM
57;26725;FM
58;26735;FM
59;26745;FM
60;26755;FM
61;26765;FM
62;26775;FM
63;26785;FM
64;26795;FM
65;26805;FM
66;26815;FM
67;26825;FM
68;26835;FM
69;26845;FM
70;26855;FM
71;26865;FM
72;26875;FM
73;26885;FM
74;26895;FM
75;26905;FM
76;26915;FM
77;26925;FM
78;26935;FM
79;26945;FM
80;26955;FM
